"Wavelength" "min195" "min120" "min90" "min60" "min30" "min15" "min5" "min0"
206.56 -0.0378771195771857 -0.150068790348185 -0.203904781791606 -0.151619129315891 -0.195401046207498 -0.131013745704467 -0.282928423575553 -0.155839587242026
207.155 -0.0407399251266241 -0.143613080749286 -0.211422008770098 -0.171348917006219 -0.220684394071491 -0.147121993127148 -0.28815775138904 -0.150680112570356
207.751 -0.00781766130808193 -0.143295586834586 -0.205679682605972 -0.162985202659232 -0.219267654751526 -0.144329896907217 -0.26822093910012 -0.115267354596623
208.347 0.00517507157013874 -0.115567784950788 -0.183232407600752 -0.158374437057688 -0.194311246730602 -0.124570446735395 -0.269746159712387 -0.100375234521576
208.943 -0.00693679806210086 -0.0960948248491904 -0.176132804343287 -0.149581814282651 -0.198016564952049 -0.126718213058419 -0.242619021679922 -0.120661350844278
209.538 -0.00759744549658667 -0.070166155148693 -0.157652954687826 -0.130280935020373 -0.193548387096774 -0.106529209621993 -0.236518139230853 -0.150562851782364
210.134 -0.0423915437128386 -0.0687903481849931 -0.176968051785341 -0.146257773965258 -0.196817785527463 -0.0865549828178694 -0.247194683516723 -0.143761726078799
210.73 -0.082140497687734 -0.10339718488729 -0.199102108999791 -0.178533133176067 -0.22962074978204 -0.119415807560137 -0.278788539056542 -0.178353658536585
211.325 -0.0963538647874917 -0.0883691395914912 -0.202651910628524 -0.202980913574952 -0.221992153443766 -0.125536941580756 -0.290990303954679 -0.159709193245779
211.921 -0.112420171768333 -0.114403640596889 -0.222802255168094 -0.213381942955179 -0.215998256320837 -0.134020618556701 -0.308639285325199 -0.159943714821764
212.516 -0.092596685752037 -0.0922848978727907 -0.202025475046983 -0.20898563156766 -0.214799476896251 -0.112006013745704 -0.296764353415405 -0.124296435272045
213.112 -0.0772957498348382 -0.0742935760397926 -0.186051367717686 -0.17864036028308 -0.1859197907585 -0.0981529209621993 -0.264734720557795 -0.100961538461538
213.707 -0.119577185641929 -0.104878823155889 -0.201190227604928 -0.205768818357281 -0.211421098517873 -0.131658075601375 -0.303627846170607 -0.128048780487805
214.303 -0.110606617485135 -0.0792676473700921 -0.188765921904364 -0.193652155264851 -0.202811682650392 -0.131872852233677 -0.285434143152849 -0.0983818011257036
214.898 -0.127945386478749 -0.0724944438564927 -0.173000626435582 -0.173279004932447 -0.181887532693984 -0.140893470790378 -0.278134873079856 -0.0785647279549718
215.494 -0.152059017837481 -0.10403217271669 -0.189496763416162 -0.199549646150547 -0.239755884917175 -0.159149484536082 -0.300795293604968 -0.11421200750469
216.089 -0.132459810614402 -0.0868875013228913 -0.195656713301316 -0.170062191722067 -0.213927637314734 -0.13928264604811 -0.293169190543632 -0.0877110694183865
216.684 -0.131028407839683 -0.080114297809292 -0.209542702025475 -0.17381514046751 -0.213491717523976 -0.128651202749141 -0.300577404946073 -0.0906425891181989
217.28 -0.153160096894957 -0.0856175256640914 -0.231154729588641 -0.206304953892344 -0.225479511769834 -0.181593642611684 -0.32901187493191 -0.12453095684803
217.875 -0.167253908830654 -0.0955656683246904 -0.235226560868657 -0.210379583958825 -0.222210113339146 -0.229918384879725 -0.358773417583615 -0.164634146341463
218.47 -0.177824267782427 -0.10170388400889 -0.221862601795782 -0.201801415397813 -0.231909328683522 -0.23571735395189 -0.37008671968624 -0.201805816135084
219.066 -0.158225060559348 -0.116414435389988 -0.220714136562957 -0.20373150332404 -0.234524847428073 -0.219179553264605 -0.334676980063188 -0.194652908067542
219.661 -0.165382074432944 -0.116626097999788 -0.217268740864481 -0.191078704696547 -0.207715780296425 -0.206722508591065 -0.322257326506155 -0.182692307692308
