"Wavelength" "min195" "min120" "min90" "min60" "min30" "min15" "min5" "min0"
228.586 -0.085934591863866 -0.138537456034437 -0.111738562091503 -0.108817911714771 -0.0883859502404349 0.0359275109631743 0.379579357967424 1.03694234281242
229.181 -0.0853496410529115 -0.140112341855215 -0.104104575163399 -0.109083191850594 -0.0874451181266987 0.0399957732340043 0.380528174582257 1.02353248108531
229.776 -0.0617920765753789 -0.12998057640821 -0.101228758169935 -0.0901421901528014 -0.0697261133180013 0.0490833201246896 0.390069052764746 1.04883902948082
230.371 -0.0633873969688913 -0.130820515512625 -0.103895424836601 -0.102557300509338 -0.0811729040351244 0.0373540444867121 0.384745137314849 1.04403861205322
230.965 -0.0595586280244616 -0.128773163945614 -0.0999738562091503 -0.106801782682513 -0.0795525820614677 0.0396787657843293 0.379421221864952 1.04732585442212
231.56 -0.048391385269875 -0.121686177752113 -0.0984575163398693 -0.092901103565365 -0.0671649592306084 0.0549479579436783 0.38959464445733 1.05890947038873
232.155 -0.048391385269875 -0.12572838469211 -0.098875816993464 -0.0872241086587436 -0.0664332009199247 0.0505098536482274 0.395761952453745 1.05384816070963
232.749 -0.0524860409465568 -0.129193133497821 -0.104679738562091 -0.0831918505942275 -0.0603177921806397 0.0426903365562424 0.3982921300933 1.06506652752413
233.344 -0.0547194894974741 -0.125570896110032 -0.105516339869281 -0.0838815789473684 -0.0552477524566172 0.0439055317799968 0.392651942438459 1.05421340986173
233.939 -0.039351236373305 -0.114704183946664 -0.0916601307189542 -0.0681769949066214 -0.049498222872674 0.0516193797220901 0.400664171630383 1.06204017740673
234.533 -0.0374900292475405 -0.117748963200168 -0.0992418300653595 -0.0649405772495755 -0.0419715659627849 0.0471284408516933 0.398608402298245 1.06840594834333
235.128 -0.0435522467428875 -0.118903879468738 -0.110274509803922 -0.0721031409168082 -0.0430169349780472 0.0474454483013684 0.394549575668125 1.06517088442473
